Domain,Area,Element,Item,Year,Value
"Livestock Primary","Afghanistan","Production","Eggs Primary","1990","14300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1991","14350"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1992","14400"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1993","14450"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1994","14600"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1995","14700"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1996","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1997","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1998","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1999","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2000","15010"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2001","13100"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2002","16730"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2003","16371"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2004","17400"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2005","21824"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2006","14688"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2007","16858"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2008","16698"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2009","16778"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2010","16344"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2011","17210"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2012","18000"
"Livestock Primary","Afghanistan","Production","Meat, Total","1990","255032"
"Livestock Primary","Afghanistan","Production","Meat, Total","1991","247045"
"Livestock Primary","Afghanistan","Production","Meat, Total","1992","242563"
"Livestock Primary","Afghanistan","Production","Meat, Total","1993","251821"
"Livestock Primary","Afghanistan","Production","Meat, Total","1994","270378"
"Livestock Primary","Afghanistan","Production","Meat, Total","1995","287096"
"Livestock Primary","Afghanistan","Production","Meat, Total","1996","312194"
"Livestock Primary","Afghanistan","Production","Meat, Total","1997","341132"
"Livestock Primary","Afghanistan","Production","Meat, Total","1998","371850"
"Livestock Primary","Afghanistan","Production","Meat, Total","1999","366988"
"Livestock Primary","Afghanistan","Production","Meat, Total","2000","320785"
"Livestock Primary","Afghanistan","Production","Meat, Total","2001","278743"
"Livestock Primary","Afghanistan","Production","Meat, Total","2002","304321"
"Livestock Primary","Afghanistan","Production","Meat, Total","2003","298619"
"Livestock Primary","Afghanistan","Production","Meat, Total","2004","322977"
